japanese,vietnamese
私は犬を飼っている。,Tôi có một con chó .
私は一匹の犬を見た。,Tôi thấy một con chó .
ここに君の犬がいる。,Con chó của bạn đây .
あなたの犬はどこですか。,Con chó của bạn ở đâu .
ここに君の犬がいる。,Con chó của bạn đây .
犬は忠実な動物です。,Chó là loài vật trung thành .
なんて大きな犬なんでしょう。,Thật là một con chó lớn !
犬は賢い。,Con chó là thông minh .
アメリカンドッグが好きです。,Tôi thích chó Mỹ .
犬は病気みたい。,Con chó trông ốm yếu .
その犬が跳んだ。,Con chó đã nhảy .
犬は病気みたい。,Con chó trông ốm yếu .
犬は貴方のです。,Con chó là của bạn .
犬は忠実な動物です。,Chó là loài vật trung thành .
ミリーは犬を一匹飼っている。,Millie có một con chó .
この犬はもう大きい,Con chó này đã lớn
誰かの犬がいなくなった。,Con chó của ai đó đã biến mất .
女の子はその犬が好きです。,Cô gái thích con chó .
あれは犬かな？,Đó là một con chó ?
私の犬はかわいいです。,Con chó của tôi thật dễ thương .
犬の散歩に行ったよ。,Tôi đã đi dạo cho chó .
メアリーは犬を恐がる。,Mary làm con chó sợ hãi .
マイクは自分の犬をスパイクと名づけた。,Mike đặt tên cho chú chó của mình là Spike .
ナンシーは犬が怖い。,Nancy sợ chó .
トラックが犬をはねた。,Xe tải tông vào con chó .
その犬は尾を震えさせていた。,Con chó đang lắc đuôi .
その犬は地面をくんくん嗅いだ。,Con chó đánh hơi đất .
その犬は走り始めた。,Con chó bắt đầu chạy .
その犬は主人を知っていた。,Con chó biết chủ của mình .
その犬は空腹に違いない。,Con chó phải đói .
その犬にエサをやらないで！,Đừng cho chó ăn !
ジェーンは猫よりも犬が好きです。,Jane thích chó hơn mèo .
これはメアリーの犬です。,Đây là con chó của Mary .
この犬は誰が世話をするのですか。,Con chó này là Ai sẽ chăm sóc .
この犬は何でもほとんど食べます。,Con chó này ăn hầu hết mọi thứ .
あの犬はとても速く走る。,Con chó đó chạy rất nhanh .
あの犬はいくつですか。,Con chó đó là gì .
犬が跳ねるのをごらん。,Nhìn con chó tung tăng .
犬は四本足である。,Con chó có bốn chân .
犬は男に噛みついた。,Con chó đã cắn người đàn ông .
内の犬は噛み付きますよ。,Con chó bên trong sẽ cắn bạn .
彼の犬は私を見ると吠える。,Con chó của anh ấy sủa khi anh ấy nhìn thấy tôi .
彼は犬を飼っていますか。,Anh ta có một con chó .
彼は口笛を吹いて犬を呼んだ。,Anh thì thầm và gọi con chó .
君の犬はとても大きい。,Con chó của bạn rất lớn .
犬は私のくつを食べました。,Con chó đã ăn giày của tôi .
犬がウサギを追いかけた。,Con chó đuổi con thỏ .
犬が猫を追いかけていた。,Con chó đã đuổi con mèo .
この本を読みなさい。,Đọc cuốn sách này .
彼は作家です。,Anh ấy là một nhà văn .
本を閉じなさい。,Đóng sách .
本は慎重に選びなさい。,Chọn sách của bạn một cách cẩn thận .
本を閉じなさい。,Đóng sách .
君はたくさんの本を持っている。,Bạn có rất nhiều sách .
君がこの本を書いたって？,Bạn đã viết cuốn sách này ?
貴方は、本を貸しました。,Bạn đã cho mượn một cuốn sách .
どれが君の本ですか。,Bạn là gì trong số này .
どちらの本がよいですか。,Cả hai điều này đều tốt hơn .
どちらの本があなたのものですか。,Cả hai cuốn sách hoặc của bạn .
それは本です。,Đó là một cuốn sách .
その本を読みなさい。,Đọc sách .
その本をとってくれ。,Lấy cuốn sách .
その本はおもしろかったですか。,Là cuốn sách thú vị .
これらは私の本です。,Đây là những cuốn sách của tôi .
これらの本は新しい。,Những cuốn sách này là mới .
これは彼女の本です。,Đây là cuốn sách của cô ấy .
この本は新しい。,Cuốn sách này là mới .
本は小さいです。,Cuốn sách nhỏ .
この本は重い。,Cuốn sách này nặng .
この本は古い。,Cuốn sách này đã cũ .
この本はよく売れる。,Cuốn sách này bán chạy .
この本の方が小さい。,Cuốn sách này nhỏ hơn .
この本です。,Cuốn sách này .
読書が好きです。,Tôi thích đọc sách .
私は本が欲しい。,Tôi muốn một cuốn sách .
私は二冊の本を持っています。,Tôi có hai cuốn sách .
私は漫画が好きです。,Tôi thích phim hoạt hình .
私は漫画を読みます。,Tôi đọc phim hoạt hình .
声を出して本を読みなさい。,Đọc to cuốn sách .
彼女は自分の本を手に取った。,Cô ấy cầm sách lên .
僕がこの本を書いたんだ。,Tôi đã viết cuốn sách này .
本を片づけなさい。,Cất cuốn sách đi .
その本は易しい。,Cuốn sách rất dễ dàng .
彼女はもっと本を持ってるよ。,Cô ấy có nhiều sách hơn .
私はよく本を読みます。,Tôi thường đọc sách .
この本は新しい。,Cuốn sách này là mới .
ここに本がある。,Đây là cuốn sách .
本を読むことは大切です。,Đọc một cuốn sách là quan trọng .
本をたくさん買った。,Tôi đã mua rất nhiều sách .
その本が見える。,Tôi có thể xem cuốn sách .
本ありがとう。,Cảm ơn bạn vì cuốn sách .
父は私に本を買ってくれました。,Bố tôi đã mua cho tôi một cuốn sách .
これ、私の本かな？,Đây có phải là cuốn sách của tôi không?
トムはあまり本を読まない。,Tom không đọc nhiều .
ファーブルは昆虫についての本を書いた。,Fabre đã viết một cuốn sách về côn trùng .
どれでもいいから本を三冊選びなさい。,Chọn ba cuốn sách từ một cuốn bất kỳ .
どの本も読む価値はない。,Không có cuốn sách nào đáng đọc .
どこで本が買えますか。,Đây là nơi bạn mua .
ついにその本を出版した。,Cuối cùng tôi đã xuất bản cuốn sách .
その図書館は多くの書物を所蔵している。,Thư viện chứa nhiều sách .
その会社は教育的な本を出版する。,Công ty xuất bản sách giáo dục .
この本は中に４０枚の写真を含む。,Cuốn sách này có 40 bức ảnh trong đó.
この本は人類学を扱っている。,Cuốn sách này đề cập đến nhân học .
この本は心理学を取り扱っている。,Cuốn sách này đề cập đến tâm lý học .
この本は高すぎる。,Cuốn sách này quá đắt .
この本はまだ版権が生きている。,Bản quyền của cuốn sách này vẫn còn tồn tại .
この本はここで売られています。,Cuốn sách này được bán ở đây .
この本には美しい挿絵が入っている。,Cuốn sách này có hình minh họa đẹp .
私にその本を取ってきて下さい。,Làm ơn lấy sách cho tôi .
私はその本が退屈なものであることを知った。,Tôi thấy cuốn sách thật nhàm chán .
私は英語の本をほとんど持っていない。,Tôi có ít sách tiếng Anh .
私は英語の本を何冊か持っています。,Tôi có một số sách tiếng Anh .
私は昨日その本を買った。,Tôi đã mua cuốn sách hôm qua .
私は彼に本を一冊やった。,Tôi đã đưa cho anh ấy một cuốn sách .
私は本を読まない。,Tôi không đọc sách .
若者は彼の本を好んでいる。,Những người trẻ tuổi thích sách của anh ấy .
新しく印刷された本はよいにおいがする。,Cuốn sách mới in có mùi thơm .
誰が私の紛失した本を見つけてくれたのですか。,Ai bạn tôi để tìm cuốn sách tôi bị mất .
彼の本はさかさまだった。,Cuốn sách của anh ấy đã bị lộn ngược .
彼はその本を読みつづけた。,Anh ấy tiếp tục đọc cuốn sách .
彼はその本を読み終えました。,Anh ấy đã đọc xong cuốn sách .
彼は私たちに良い本を買ってくれた。,Anh ấy đã mua cho chúng tôi một cuốn sách hay .
彼は本をばらばらに裂いてしまった。,Anh ta xé sách ra .
彼女は何百冊という本を持っている。,Cô ấy có hàng trăm cuốn sách .
彼女は多くの高価な本を持っている。,Cô ấy có nhiều cuốn sách đắt tiền .
僕の本の事を言ったの？,Bạn đã đề cập đến cuốn sách của tôi ?
僕は本を安く売った。,Tôi đã bán cuốn sách với giá rẻ .
あなたはこの本を買いましたか。,Bạn đã mua cuốn sách .
この本は星についてです。,Cuốn sách này là về các vì sao .
ジョンは本棚を作った。,John đã làm một giá sách .
彼は歴史の本をたくさん持っている。,Anh ấy có rất nhiều sách lịch sử .
本はほとんどない。,Có ít sách .
多くの生徒がその本を買った。,Nhiều sinh viên đã mua cuốn sách .
この本はとても厚い。,Cuốn sách này rất dày .
あの本は新しい本です。,Cuốn sách đó là một cuốn sách mới .
我が最良の友は本である。,Bạn thân nhất của tôi là một cuốn sách .
この本を英語にしなさい。,Tạo cuốn sách này bằng tiếng Anh .
いくつかフランス語の本を持っている。,Tôi có một số cuốn sách tiếng Pháp .
本を下さい。,Làm ơn cho tôi một cuốn sách .
彼はたくさん本を持っている。,Anh ấy có rất nhiều sách .
彼はたくさん本を持っている。,Anh ấy có rất nhiều sách .
食事中本を読んだ。,Tôi vừa đọc sách vừa ăn .
君の本は机の上にある。,Cuốn sách của bạn đang ở trên bàn .
偶然その本を見つけた。,Tôi tình cờ tìm thấy cuốn sách .
九ページを開きなさい。,Mở trang chín .
